victim_id,case_id,victim_name,gender,age,occupation,injury_type,relationship_to_accused,address
VICT003584,CR002892,Benjamin Ghose,Male,25,Housewife,None,Neighbour,"257, Din Circle, Patiala 372569"
VICT003585,CR002893,Upasna Dada,Other,17,Unemployed,Minor,Friend,"78/66, Vasa Chowk, Nanded 291305"
VICT003586,CR002894,Azad Goel,Male,13,Unemployed,Minor,Friend,"03/695, Garde Circle, Barasat 557760"
VICT003587,CR002894,Lajita Mandal,Other,15,Driver,Minor,Family,"42/50, Bedi Ganj, Mehsana 207657"
VICT003588,CR002894,Ucchal Thakkar,Other,38,Farmer,Minor,Colleague,"59/60, Parmer Zila, Dhule 990781"
VICT003589,CR002895,Kiaan Buch,Other,48,Driver,Minor,Neighbour,"678, Batta Street, Rampur-016772"
VICT003590,CR002896,Baghyawati Cherian,Female,50,Retired,Fatal,Friend,"H.No. 57, Raju Nagar, Rajkot 501566"
VICT003591,CR002897,Ria Banik,Female,25,Unemployed,Minor,Friend,"07/05, Zacharia Chowk, Ongole-409972"
VICT003592,CR002897,Mohammed Saini,Male,7,Self Employed,None,Neighbour,"68/63, Patel Street, Ahmedabad 952973"
VICT003593,CR002898,Xavier Goel,Male,89,Student,None,Colleague,"93/40, Chaudhary Zila, Srinagar 175544"
VICT003594,CR002899,Samaksh Bal,Male,84,Housewife,Minor,Friend,"043, Dasgupta Road, Hindupur 159431"
VICT003595,CR002899,Yuvraj Bail,Male,15,Business,Fatal,Colleague,"30/347, Balasubramanian Street, Udaipur-017349"
VICT003596,CR002900,Zansi Chakraborty,Other,22,Retired,Minor,Unknown,"H.No. 149, Balay Marg, Mumbai 596698"
VICT003597,CR002901,Anita Borah,Female,7,Self Employed,Minor,Unknown,"44/26, Shanker Street, Sangli-Miraj & Kupwad 413118"
VICT003598,CR002902,Falak Radhakrishnan,Female,59,Farmer,Minor,Stranger,"H.No. 596, Karan Marg, Gopalpur 564475"
VICT003599,CR002903,Samaksh Lala,Male,70,Driver,Serious,Stranger,"066, Seth Ganj, Gaya 593066"
VICT003600,CR002904,Chavvi Sibal,Female,36,Student,Minor,Colleague,"49/54, Andra Road, Bhatpara 869002"
VICT003601,CR002905,Tanmayi Krishna,Female,28,Private Employee,None,Friend,"762, Borra Street, Shimla 481280"
VICT003602,CR002906,Siya Deshmukh,Other,78,Business,None,Colleague,"H.No. 19, Bali Path, Morbi 000746"
VICT003603,CR002907,Waida Char,Other,34,Student,Minor,Stranger,"95/38, Toor Marg, Morbi-612460"
VICT003604,CR002908,Upasna Vora,Other,18,Business,Fatal,Unknown,"H.No. 793, Arya Circle, Morbi-875601"
VICT003605,CR002909,Chandresh Gala,Other,83,Labourer,Minor,Neighbour,"710, Wali Chowk, Hajipur 547573"
VICT003606,CR002910,Kala Tara,Female,11,Farmer,Fatal,Colleague,"H.No. 35, Nath Ganj, Bhiwani-093693"
VICT003607,CR002910,Prisha Iyer,Female,65,Housewife,Minor,Neighbour,"888, Balan Path, Rajahmundry 254105"
VICT003608,CR002910,Geetika Chahal,Female,82,Government Employee,Serious,Neighbour,"H.No. 371, Nayar Path, Farrukhabad-459986"
VICT003609,CR002911,Aahana Sani,Other,14,Government Employee,None,Unknown,"58/67, Dube, Bulandshahr 264420"
VICT003610,CR002912,Vrinda Balay,Other,19,Housewife,Minor,Unknown,"17/78, Ratta Marg, Fatehpur 864359"
VICT003611,CR002913,Vedant Konda,Other,88,Farmer,None,Unknown,"13, Arora Street, Pondicherry 991630"
VICT003612,CR002914,Aditya Batra,Male,50,Driver,Minor,Colleague,"24/40, Mani Zila, Kota-042712"
VICT003613,CR002914,Karan Barman,Male,28,Student,Minor,Unknown,"04/48, Pingle Zila, Udaipur 300582"
VICT003614,CR002915,Aryan Hans,Male,23,Driver,Serious,Neighbour,"453, Talwar Zila, Lucknow-342573"
VICT003615,CR002916,Jairaj Pillay,Male,9,Retired,Minor,Friend,"420, Bassi Street, Visakhapatnam 238128"
VICT003616,CR002917,Ayaan Solanki,Other,7,Driver,Serious,Friend,"21, Saran Circle, Nizamabad 288656"
VICT003617,CR002918,Saksham Kamdar,Male,9,Farmer,Minor,Friend,"H.No. 52, Buch, Aurangabad-724485"
VICT003618,CR002919,Neelima Choudhry,Other,75,Labourer,Serious,Neighbour,"71/782, Amble Road, Kumbakonam-728381"
VICT003619,CR002920,Dominic Uppal,Male,22,Unemployed,Minor,Unknown,"12/46, Shere Marg, Raebareli-488078"
VICT003620,CR002920,Aarav Sharaf,Male,80,Government Employee,Minor,Friend,"H.No. 34, Sanghvi Chowk, Madhyamgram-006610"
VICT003621,CR002921,Alka Saini,Female,58,Unemployed,Minor,Stranger,"H.No. 916, Sood Marg, Singrauli 794372"
VICT003622,CR002922,Naksh Master,Male,58,Farmer,None,Friend,"94/041, Gupta Zila, Nagpur-227846"
VICT003623,CR002923,Kamya Kakar,Female,33,Retired,Serious,Colleague,"55/166, Karnik Road, Gandhinagar-108061"
VICT003624,CR002924,Libni Baral,Female,51,Government Employee,None,Stranger,"87, Dave Nagar, Shivpuri-769217"
VICT003625,CR002924,William Narula,Other,5,Farmer,Serious,Unknown,"H.No. 912, Bose Ganj, Nagaon-084201"
VICT003626,CR002925,Wriddhish Gopal,Male,89,Farmer,Minor,Colleague,"05/946, Virk Marg, Rampur-621353"
VICT003627,CR002926,Janani Amble,Female,55,Student,Minor,Friend,"59/85, Chaudry Ganj, Madanapalle 880969"
VICT003628,CR002927,Ekanta Behl,Other,85,Labourer,Minor,Family,"93/54, Munshi Nagar, Phusro-000415"
VICT003629,CR002928,Jairaj Sem,Male,59,Retired,Minor,Family,"069, Dara Street, Jaipur 133016"
VICT003630,CR002928,Anya Malhotra,Female,58,Driver,None,Friend,"43/342, Vala Road, Moradabad 407067"
VICT003631,CR002929,Yoshita Chakraborty,Female,5,Housewife,Minor,Family,"H.No. 978, Aurora, Amroha-925082"
VICT003632,CR002930,Nimrat Puri,Female,10,Retired,Minor,Unknown,"H.No. 801, Dalal Ganj, Howrah-173661"
VICT003633,CR002930,Omisha Badal,Female,72,Labourer,Serious,Friend,"11/03, Chakrabarti Road, Amritsar-614289"
VICT003634,CR002931,Nakul Pant,Other,77,Student,None,Family,"H.No. 46, Bains Zila, Ballia-159768"
VICT003635,CR002931,Krishna Chakrabarti,Other,89,Housewife,Minor,Friend,"H.No. 641, Cherian Road, Gudivada 056255"
VICT003636,CR002931,Oscar Grover,Male,4,Business,None,Neighbour,"38/266, Khalsa Path, Mahbubnagar-751612"
VICT003637,CR002932,Jonathan Taneja,Male,82,Retired,Minor,Friend,"26/735, Atwal Path, Khandwa 695397"
VICT003638,CR002933,Dipta Agrawal,Other,31,Farmer,Fatal,Neighbour,"H.No. 821, Kuruvilla Street, Thane 962399"
VICT003639,CR002934,Ishaan Goyal,Other,73,Business,None,Friend,"18, Balan Ganj, Rajahmundry 816259"
VICT003640,CR002935,Anamika Bahri,Female,67,Government Employee,None,Family,"67, Kanda Nagar, Mahbubnagar 917119"
VICT003641,CR002936,Qabil Ahluwalia,Other,49,Unemployed,Minor,Stranger,"76/311, Mittal Zila, Ranchi-960806"
VICT003642,CR002937,Lavanya Brar,Female,27,Unemployed,Serious,Colleague,"H.No. 55, Kurian Street, Panchkula-835130"
VICT003643,CR002938,Alka Hayre,Other,19,Housewife,Minor,Friend,"24/15, Prashad Path, Khandwa-154078"
VICT003644,CR002938,Ganga Som,Other,9,Government Employee,Minor,Friend,"H.No. 84, Ratti Ganj, Machilipatnam 709414"
VICT003645,CR002939,Nidra Pradhan,Female,32,Driver,Minor,Family,"64, Johal Chowk, Durgapur 464846"
VICT003646,CR002940,Balveer Gopal,Male,18,Unemployed,Serious,Friend,"10, Kata Circle, Raichur 583257"
VICT003647,CR002941,Anya Iyer,Other,35,Government Employee,Serious,Friend,"H.No. 66, Varghese Street, Tenali 588702"
VICT003648,CR002942,Yadavi Raman,Female,41,Retired,Serious,Unknown,"12/944, Pall Road, Gangtok-016065"
VICT003649,CR002943,Nimrat Gour,Female,26,Private Employee,None,Colleague,"26, Buch Circle, Maheshtala-174096"
VICT003650,CR002944,Pranit Walla,Male,80,Labourer,Minor,Friend,"H.No. 70, Warrior Chowk, Jamnagar 634700"
VICT003651,CR002945,Aashi Brahmbhatt,Other,23,Unemployed,Minor,Family,"20, Devan Path, Ahmednagar-073723"
VICT003652,CR002946,Lakshmi Sidhu,Female,57,Farmer,Serious,Family,"97, Pathak Street, Jamshedpur-385733"
VICT003653,CR002947,Lucky Parsa,Other,32,Housewife,None,Friend,"48/16, Upadhyay Marg, Kirari Suleman Nagar-413921"
VICT003654,CR002947,Azaan Banerjee,Male,4,Housewife,Minor,Colleague,"15, Sabharwal Ganj, Allahabad-721470"
VICT003655,CR002947,Faqid Chandra,Male,78,Private Employee,Minor,Stranger,"32/53, Rajan Chowk, Nizamabad 831367"
VICT003656,CR002948,Isaiah Anand,Other,43,Housewife,Fatal,Family,"668, Sachdev Nagar, Nanded-809676"
VICT003657,CR002949,Urmi Nigam,Female,76,Self Employed,Minor,Friend,"11/787, Sagar Chowk, Kochi 243934"
VICT003658,CR002950,Kevin Nayak,Male,5,Student,Fatal,Colleague,"91, Nayak Street, Kottayam-712813"
VICT003659,CR002951,Chakradhar Kannan,Other,46,Business,Serious,Family,"04/80, Kala Street, Thanjavur-904914"
VICT003660,CR002952,Gagan Lad,Other,68,Unemployed,None,Colleague,"299, Bhandari Path, Kozhikode 152777"
VICT003661,CR002953,Veda Sastry,Female,42,Self Employed,Minor,Stranger,"34/16, Sem Street, Ghaziabad 184628"
VICT003662,CR002953,Ekbal Sur,Other,27,Self Employed,None,Colleague,"H.No. 71, Oak Street, Parbhani-495887"
VICT003663,CR002954,Lakshmi Ray,Other,59,Business,None,Unknown,"H.No. 13, Ratti Street, Ratlam 792292"
VICT003664,CR002954,Jonathan Balakrishnan,Other,48,Private Employee,Serious,Unknown,"579, Tak Street, Rampur 245333"
VICT003665,CR002955,Jacob Hans,Male,69,Unemployed,Minor,Unknown,"H.No. 402, Bobal Chowk, Bhavnagar 761109"
VICT003666,CR002955,Anthony Sood,Male,12,Driver,Minor,Colleague,"752, Ratta, Warangal-198194"
VICT003667,CR002956,Sneha Kakar,Female,68,Government Employee,Minor,Unknown,"H.No. 792, Oommen Road, Gurgaon-978979"
VICT003668,CR002957,Widisha Gade,Female,4,Housewife,None,Family,"21/999, Narula Ganj, Jaipur 354050"
VICT003669,CR002958,Jagvi Toor,Other,23,Housewife,Minor,Colleague,"61, Tella Circle, Ranchi 729628"
VICT003670,CR002959,Waida Ramesh,Female,72,Private Employee,None,Unknown,"71/17, Hayre Nagar, Durgapur 035139"
VICT003671,CR002960,Nakul Subramaniam,Other,13,Driver,Minor,Colleague,"87/065, Hayre Nagar, Thiruvananthapuram 412694"
VICT003672,CR002961,Reyansh Chanda,Male,38,Farmer,None,Neighbour,"685, Toor Road, Tezpur-477328"
VICT003673,CR002962,Anika Nanda,Female,47,Self Employed,Serious,Colleague,"73/95, Rout Circle, Udupi 528858"
VICT003674,CR002963,Anthony Goel,Other,13,Business,Minor,Unknown,"H.No. 390, Gade Ganj, Bardhaman-505833"
VICT003675,CR002964,Luke Issac,Other,1,Farmer,Minor,Friend,"H.No. 482, Dua Street, Noida-314928"
VICT003676,CR002965,Vivaan Maharaj,Male,2,Business,Fatal,Neighbour,"94/200, Balay, Panvel 643190"
VICT003677,CR002966,Maanav Kannan,Male,78,Housewife,Serious,Friend,"H.No. 10, Minhas Nagar, Guwahati 401625"
VICT003678,CR002967,George Khatri,Male,25,Student,None,Friend,"H.No. 08, Behl Zila, South Dumdum-245378"
VICT003679,CR002967,Onveer Agate,Male,66,Government Employee,Minor,Neighbour,"044, Mann Marg, Kanpur 497123"
VICT003680,CR002968,Meghana Saha,Female,21,Student,Serious,Colleague,"35/545, Chopra Road, Bhusawal-520414"
VICT003681,CR002968,Owen Varkey,Male,28,Retired,Fatal,Colleague,"H.No. 526, Singh Zila, Buxar 328755"
VICT003682,CR002969,Ekansh Thakur,Other,69,Government Employee,Minor,Unknown,"820, Kala Circle, Kolkata-964320"
VICT003683,CR002970,Yauvani Barad,Female,32,Government Employee,None,Friend,"H.No. 263, Ghosh Path, Dewas 442765"
VICT003684,CR002971,Kalpit Manne,Other,33,Government Employee,Serious,Stranger,"H.No. 094, Gera Chowk, Barasat-264018"
VICT003685,CR002972,Ekapad Walla,Male,87,Farmer,None,Stranger,"H.No. 27, Saha Ganj, Berhampur 111596"
VICT003686,CR002973,Manan Randhawa,Male,37,Labourer,Serious,Neighbour,"H.No. 04, Sridhar Zila, Sangli-Miraj & Kupwad 790628"
VICT003687,CR002974,Ekapad Arora,Male,14,Business,Minor,Friend,"49/73, Bose Ganj, Barasat-490599"
VICT003688,CR002975,Rachit Wason,Other,7,Farmer,None,Colleague,"H.No. 29, Mukherjee Nagar, Madurai-978963"
VICT003689,CR002976,Anjali Nayak,Other,71,Self Employed,None,Stranger,"H.No. 120, Patla Marg, Sagar 593485"
VICT003690,CR002977,Sai Mishra,Male,36,Farmer,None,Family,"H.No. 32, Pandey Path, Hubli–Dharwad-665914"
VICT003691,CR002978,Vasatika Thaker,Female,40,Government Employee,None,Neighbour,"H.No. 85, Saraf, Korba 966276"
VICT003692,CR002979,Radha Solanki,Female,85,Self Employed,None,Unknown,"58/00, Iyer Chowk, Mira-Bhayandar 256999"
VICT003693,CR002980,Krish Raju,Other,48,Private Employee,None,Colleague,"H.No. 511, Walia Circle, Kirari Suleman Nagar-211659"
VICT003694,CR002981,Anita Chahal,Female,84,Unemployed,Minor,Unknown,"192, Rama Marg, Mango-756144"
VICT003695,CR002982,Megha Dewan,Female,81,Labourer,None,Colleague,"00, Bhargava Path, Chandigarh 066959"
VICT003696,CR002982,Wahab Sidhu,Male,84,Self Employed,None,Colleague,"60/85, Bakshi Path, Shimoga-358860"
VICT003697,CR002983,Charan Sen,Other,25,Self Employed,Minor,Friend,"43, Naik Nagar, Solapur-708138"
VICT003698,CR002984,Aryan Sarma,Male,64,Farmer,None,Friend,"H.No. 26, Taneja Marg, Anand-498300"
VICT003699,CR002984,Jacob Sha,Male,17,Private Employee,None,Colleague,"H.No. 271, Sama Street, Bilaspur 001626"
VICT003700,CR002985,Omya Agrawal,Other,62,Government Employee,Serious,Unknown,"37/504, Bora Marg, Ichalkaranji-697185"
VICT003701,CR002986,Om Gade,Male,21,Driver,Minor,Neighbour,"132, Datta Path, Guwahati-880860"
VICT003702,CR002987,Wahab Nazareth,Male,87,Private Employee,None,Family,"28, Chauhan Marg, Ulhasnagar-109475"
VICT003703,CR002987,Rajeshri Parmar,Female,9,Business,Minor,Neighbour,"04/22, Dani Road, Jalna-253311"
VICT003704,CR002988,Gavin Rege,Other,76,Government Employee,Minor,Neighbour,"87, Mall Nagar, Panihati-080080"
VICT003705,CR002989,Falak Oommen,Female,24,Retired,None,Colleague,"90/65, Mohanty Marg, Madurai-548915"
VICT003706,CR002990,Patrick Kala,Other,45,Retired,Minor,Colleague,"09/28, Bose Zila, Thoothukudi-685304"
VICT003707,CR002991,Frado Dugal,Male,47,Government Employee,Minor,Family,"50/725, Bhakta, Sonipat 233775"
VICT003708,CR002992,Vanya Sodhi,Female,55,Unemployed,Serious,Stranger,"88/002, Dubey Marg, Bijapur 577619"
VICT003709,CR002993,Siddharth Chana,Other,52,Self Employed,Minor,Colleague,"06/661, Thakur Path, Maheshtala 650721"
VICT003710,CR002994,Isha Sami,Other,57,Self Employed,Minor,Family,"89, Lal Road, Saharsa 425901"
VICT003711,CR002995,Nidra Yogi,Other,81,Retired,Serious,Neighbour,"48, Rout Chowk, Chandigarh-992078"
VICT003712,CR002996,Anvi Khanna,Other,57,Driver,Minor,Neighbour,"316, Yadav, Bhopal 982338"
VICT003713,CR002996,Patrick Varkey,Male,89,Self Employed,Minor,Family,"74/63, Varughese Path, Gandhinagar 259917"
VICT003714,CR002997,Aadi Dave,Male,44,Government Employee,Minor,Family,"16/577, Kala Chowk, Pallavaram 297241"
VICT003715,CR002997,Kamya Cherian,Other,66,Retired,Minor,Colleague,"95/96, Radhakrishnan Road, Mirzapur 826263"
VICT003716,CR002998,Yagnesh Mangat,Male,75,Business,Minor,Unknown,"H.No. 45, Ghosh Zila, Kurnool-635239"
VICT003717,CR002998,Ethan Randhawa,Other,53,Private Employee,None,Colleague,"96/150, Din Marg, Silchar 555363"
VICT003718,CR002999,Ubika Srivastava,Female,62,Business,Minor,Friend,"444, Grover Ganj, Tirunelveli 915559"
VICT003719,CR003000,Damyanti Butala,Female,64,Private Employee,Minor,Colleague,"H.No. 015, Prashad Marg, Indore 074339"
VICT003720,CR003001,Charita Dora,Other,53,Housewife,Minor,Friend,"H.No. 989, Sharma, Nadiad-350943"
VICT003721,CR003002,Ekiya Anand,Female,87,Driver,Serious,Friend,"H.No. 73, Dhillon Marg, Chennai 421142"
VICT003722,CR003003,Henry Viswanathan,Male,43,Government Employee,None,Neighbour,"H.No. 092, Bose Zila, Gangtok-795487"
VICT003723,CR003004,Mohini Balay,Female,11,Farmer,Serious,Stranger,"14/255, Balay Marg, Aligarh-886072"
VICT003724,CR003004,Yagnesh Som,Male,87,Student,Minor,Stranger,"48, Nazareth Road, Tenali-483399"
VICT003725,CR003005,Hemani Bal,Other,17,Retired,Minor,Unknown,"054, Sampath Road, Bettiah-406845"
VICT003726,CR003005,Daniel Pradhan,Male,20,Private Employee,Serious,Unknown,"952, Sankar Circle, Guntakal 965209"
VICT003727,CR003006,Viraj Sampath,Male,33,Driver,Minor,Family,"H.No. 65, Golla Marg, Davanagere 344714"
VICT003728,CR003006,Mason Banik,Other,49,Housewife,Serious,Unknown,"331, Menon Marg, Sangli-Miraj & Kupwad-059759"
VICT003729,CR003007,Alexander Manda,Other,5,Retired,Minor,Family,"H.No. 90, Prasad Marg, Salem 993822"
VICT003730,CR003008,Mitali Bumb,Female,85,Student,Minor,Neighbour,"H.No. 96, Mody Chowk, Gandhidham 291413"
VICT003731,CR003009,Kabir Thakur,Male,77,Private Employee,Serious,Friend,"59, Agarwal Zila, Gorakhpur 910042"
VICT003732,CR003010,Tristan Misra,Male,41,Housewife,Minor,Friend,"H.No. 84, Deshpande Ganj, Shimla 899960"
VICT003733,CR003011,Ekbal Sood,Male,69,Business,Minor,Neighbour,"58/54, Zachariah Path, Katihar 989109"
VICT003734,CR003012,Meghana Srivastava,Other,74,Driver,Minor,Colleague,"69/490, Tella Nagar, Faridabad-174869"
VICT003735,CR003012,Viraj Master,Male,41,Self Employed,None,Stranger,"158, Suresh Marg, Nellore-887709"
VICT003736,CR003012,Gabriel Bahri,Male,17,Student,Serious,Friend,"H.No. 80, Gandhi Chowk, Navi Mumbai 107401"
VICT003737,CR003013,Raghav Thaker,Male,7,Unemployed,None,Neighbour,"93/47, Agarwal Road, Vijayanagaram-757900"
VICT003738,CR003014,Gaurang Lad,Male,24,Government Employee,Minor,Colleague,"078, Hari Road, Firozabad 570671"
VICT003739,CR003015,Baghyawati Kaul,Other,26,Unemployed,None,Colleague,"920, Sachar Road, Anantapuram 264683"
VICT003740,CR003016,Jason Goswami,Other,42,Labourer,Minor,Friend,"H.No. 08, Prasad Street, Kakinada-627095"
VICT003741,CR003017,Brijesh Srivastava,Other,23,Private Employee,Minor,Unknown,"508, Kapoor Circle, Nellore 243463"
VICT003742,CR003018,Yauvani Chandran,Other,69,Government Employee,Minor,Neighbour,"H.No. 31, Tiwari Nagar, Bareilly 006999"
VICT003743,CR003019,Xalak Grewal,Female,43,Government Employee,Minor,Unknown,"H.No. 17, Pandit Marg, Bareilly 014923"
VICT003744,CR003020,Priya Divan,Female,63,Private Employee,Fatal,Colleague,"H.No. 56, Bhandari Path, Dibrugarh 096691"
VICT003745,CR003021,Janya Jani,Female,11,Labourer,Serious,Friend,"90/01, Seshadri Street, Jalandhar 800020"
VICT003746,CR003022,Robert Bajaj,Male,59,Housewife,Minor,Colleague,"89/347, Krishnan Road, Durgapur 055968"
VICT003747,CR003023,Oliver Khurana,Male,78,Driver,Serious,Unknown,"930, Kumar Circle, Hubli–Dharwad-941234"
VICT003748,CR003024,Maanas Rai,Male,3,Driver,Minor,Friend,"26/052, D’Alia Road, Gwalior 924547"
VICT003749,CR003025,Zayyan Shetty,Male,56,Farmer,Minor,Stranger,"21, Johal Nagar, Bihar Sharif 448630"
VICT003750,CR003025,Girish Kannan,Male,31,Self Employed,None,Neighbour,"89/91, Viswanathan Circle, Howrah-002110"
VICT003751,CR003025,Aarna Merchant,Female,56,Unemployed,None,Neighbour,"91/016, Deol Nagar, Berhampur-858919"
VICT003752,CR003026,Bishakha Sekhon,Female,51,Farmer,None,Friend,"H.No. 30, Baral Road, Phusro-976303"
VICT003753,CR003026,Kalpit Kari,Male,89,Labourer,Minor,Unknown,"H.No. 52, Mandal Road, Etawah 518045"
VICT003754,CR003026,Madhav Nadig,Male,54,Farmer,None,Colleague,"44/64, Hayre, Guna-392772"
VICT003755,CR003027,Amara Issac,Female,59,Private Employee,Minor,Family,"H.No. 026, Dugal Street, Motihari 785079"
VICT003756,CR003028,Kabir Lalla,Other,20,Private Employee,None,Neighbour,"H.No. 52, Dua Nagar, Satara 833776"
VICT003757,CR003028,Arunima Tank,Other,54,Farmer,None,Colleague,"74/04, Devi Ganj, Panipat-956840"
VICT003758,CR003029,Anmol Chada,Male,65,Farmer,None,Friend,"72, Balan Chowk, Madanapalle-672604"
VICT003759,CR003029,Aarnav Lala,Male,49,Farmer,None,Colleague,"320, Bal Circle, Katihar-246269"
VICT003760,CR003030,Brinda Varma,Female,12,Government Employee,Serious,Friend,"H.No. 571, Issac Street, Kakinada-867614"
VICT003761,CR003031,Rajeshri Borah,Female,62,Government Employee,None,Family,"39/156, Ray Nagar, Jorhat-153716"
VICT003762,CR003032,Viraj Sane,Male,39,Private Employee,Minor,Colleague,"82/962, Agate Ganj, Bongaigaon-726453"
VICT003763,CR003033,Aarav Nadig,Male,49,Self Employed,None,Colleague,"H.No. 11, Dar Chowk, Shimla-932622"
VICT003764,CR003034,Pranav Taneja,Other,42,Student,None,Neighbour,"39, Soni Marg, Raiganj-380582"
VICT003765,CR003035,Udyati Din,Female,65,Unemployed,Minor,Friend,"99/767, Singhal Nagar, Yamunanagar 510050"
VICT003766,CR003035,Aadi Deep,Male,45,Housewife,Minor,Stranger,"91/963, Sabharwal Nagar, Naihati-755291"
VICT003767,CR003036,Vidhi Venkatesh,Female,39,Private Employee,Minor,Unknown,"H.No. 868, Jani Zila, Jodhpur-640290"
VICT003768,CR003037,Waida Dara,Female,82,Driver,Serious,Family,"67/384, Pau Circle, Chandigarh-239351"
VICT003769,CR003037,Raghav Gulati,Other,33,Farmer,Serious,Neighbour,"01/00, Trivedi Road, Tenali 816816"
VICT003770,CR003038,Raagini Chaudhary,Female,29,Labourer,Minor,Family,"74/457, Viswanathan Ganj, Ramgarh-398310"
VICT003771,CR003039,Ubika Murthy,Other,22,Unemployed,Serious,Unknown,"H.No. 99, Agrawal Zila, Davanagere-023314"
VICT003772,CR003040,Raghav Sarna,Other,63,Business,Minor,Colleague,"97, Banerjee Nagar, Anantapuram-291953"
VICT003773,CR003040,Sudiksha Saran,Other,3,Farmer,None,Neighbour,"61/09, Tara Circle, Salem 221533"
VICT003774,CR003041,Amrita Parsa,Female,28,Student,None,Friend,"H.No. 30, Dixit, Jehanabad-068468"
VICT003775,CR003042,Janya Sama,Female,5,Housewife,None,Stranger,"H.No. 204, Om Circle, Davanagere-103982"
VICT003776,CR003043,Lohit Din,Male,62,Housewife,None,Unknown,"H.No. 291, Pandit Path, Bilaspur-351075"
VICT003777,CR003044,Barkha Goda,Other,1,Retired,Minor,Stranger,"H.No. 861, Doctor Chowk, Phusro 933002"
VICT003778,CR003045,Vanya Bhasin,Female,44,Labourer,Serious,Neighbour,"78/06, Seshadri Zila, Morbi 654616"
VICT003779,CR003046,Atharv Venkataraman,Male,81,Driver,Minor,Neighbour,"70, Badami Circle, Saharsa 968366"
VICT003780,CR003047,Aayush Dora,Male,8,Housewife,Minor,Friend,"49/871, Choudhry Ganj, New Delhi-293432"
VICT003781,CR003048,Oni Bains,Female,47,Driver,None,Family,"H.No. 642, Gara Zila, Rampur-551457"
VICT003782,CR003048,Viraj Bumb,Male,46,Business,Minor,Neighbour,"688, Sood Circle, Bhatpara-460776"
VICT003783,CR003049,Maanav Butala,Male,61,Business,Minor,Family,"97, Padmanabhan, Kurnool-734536"
VICT003784,CR003050,Falguni Nazareth,Female,54,Housewife,Minor,Neighbour,"40/202, Doshi Zila, Nashik-591134"
VICT003785,CR003051,Noah Dhingra,Male,15,Unemployed,Serious,Stranger,"00/70, Bahl Street, Bidar-248860"
VICT003786,CR003052,Jagat Dhar,Other,72,Government Employee,Minor,Unknown,"44, Shukla Nagar, Jorhat-809858"
VICT003787,CR003053,Yagnesh Sundaram,Other,25,Driver,None,Family,"H.No. 89, Narayan Street, Raurkela Industrial Township-781530"
VICT003788,CR003053,Chaman Gola,Female,12,Government Employee,None,Stranger,"64, Golla Marg, Chandigarh-934430"
VICT003789,CR003054,Ayushman Kulkarni,Male,50,Business,None,Family,"78/929, Parsa Chowk, Pimpri-Chinchwad 498056"
VICT003790,CR003055,Vasudha Gopal,Other,90,Housewife,Minor,Colleague,"H.No. 588, Kamdar Nagar, Guntakal 259751"
VICT003791,CR003055,Lakshmi Sethi,Other,58,Government Employee,None,Friend,"00, Varty Zila, Khora -709116"
VICT003792,CR003056,Arya Swamy,Female,25,Labourer,None,Family,"73/620, Kaul Street, Phusro 333583"
VICT003793,CR003057,Theodore Rama,Male,27,Housewife,Serious,Stranger,"61, Goda Zila, Rourkela-421306"
VICT003794,CR003058,Anita Om,Female,47,Retired,Minor,Unknown,"85/64, Sehgal Zila, Sambhal-815823"
VICT003795,CR003059,Faras Kar,Other,76,Self Employed,Serious,Unknown,"H.No. 19, Nayak Street, Akola 785423"
VICT003796,CR003060,Lakshmi Bhavsar,Other,60,Private Employee,Serious,Family,"93, Gera Marg, Arrah 185148"
VICT003797,CR003060,Nicholas Loyal,Other,70,Business,Serious,Friend,"67/416, Suri Road, Bharatpur 583431"
VICT003798,CR003061,Benjamin Munshi,Male,30,Labourer,Fatal,Unknown,"H.No. 752, Master Chowk, Jamalpur-061556"
VICT003799,CR003061,Yasti Badami,Other,44,Farmer,Minor,Friend,"58, Pant Ganj, Durgapur-819620"
VICT003800,CR003061,Aryan Shroff,Male,70,Self Employed,Minor,Neighbour,"H.No. 71, Dasgupta Chowk, Motihari 230008"
VICT003801,CR003062,Umang Mammen,Other,59,Housewife,Minor,Stranger,"H.No. 98, Uppal Street, Avadi-840488"
VICT003802,CR003063,Zaid Joshi,Male,41,Unemployed,Fatal,Neighbour,"04, Kaur Marg, Karaikudi-282775"
VICT003803,CR003064,Baljiwan Mistry,Male,44,Driver,Minor,Friend,"H.No. 354, Dada Zila, Hapur 541717"
VICT003804,CR003064,Chanakya Muni,Other,44,Retired,Minor,Stranger,"H.No. 084, Bhalla Road, Kurnool 365231"
VICT003805,CR003065,Timothy Hegde,Male,76,Housewife,Serious,Unknown,"113, Badami Ganj, Gopalpur 023018"
VICT003806,CR003066,Samesh Peri,Male,54,Farmer,Minor,Colleague,"H.No. 342, Divan, Kishanganj-400596"
VICT003807,CR003067,Ekta Nigam,Female,7,Business,Minor,Colleague,"H.No. 03, Handa Ganj, Madhyamgram 341395"
VICT003808,CR003068,Banjeet Kalla,Other,26,Driver,Serious,Stranger,"668, Puri Marg, Kirari Suleman Nagar-257523"
VICT003809,CR003069,Daniel Sahota,Male,87,Farmer,None,Friend,"H.No. 40, Trivedi Nagar, Jodhpur 406781"
VICT003810,CR003070,Jackson Shenoy,Male,24,Private Employee,Minor,Neighbour,"927, Wable Street, Allahabad 481104"
